country,date,accumulated_confirmed,increase_of_confirmed
Afghanistan,2020-01-22,0,0.0
Afghanistan,2020-01-23,0,0.0
Afghanistan,2020-01-24,0,0.0
Afghanistan,2020-01-25,0,0.0
Afghanistan,2020-01-26,0,0.0
Afghanistan,2020-01-27,0,0.0
Afghanistan,2020-01-28,0,0.0
Afghanistan,2020-01-29,0,0.0
Afghanistan,2020-01-30,0,0.0
Afghanistan,2020-01-31,0,0.0
Afghanistan,2020-02-01,0,0.0
Afghanistan,2020-02-02,0,0.0
Afghanistan,2020-02-03,0,0.0
Afghanistan,2020-02-04,0,0.0
Afghanistan,2020-02-05,0,0.0
Afghanistan,2020-02-06,0,0.0
Afghanistan,2020-02-07,0,0.0
Afghanistan,2020-02-08,0,0.0
Afghanistan,2020-02-09,0,0.0
Afghanistan,2020-02-10,0,0.0
Afghanistan,2020-02-11,0,0.0
Afghanistan,2020-02-12,0,0.0
Afghanistan,2020-02-13,0,0.0
Afghanistan,2020-02-14,0,0.0
Afghanistan,2020-02-15,0,0.0
Afghanistan,2020-02-16,0,0.0
Afghanistan,2020-02-17,0,0.0
Afghanistan,2020-02-18,0,0.0
Afghanistan,2020-02-19,0,0.0
Afghanistan,2020-02-20,0,0.0
Afghanistan,2020-02-21,0,0.0
Afghanistan,2020-02-22,0,0.0
Afghanistan,2020-02-23,0,0.0
Afghanistan,2020-02-24,0,0.0
Afghanistan,2020-02-25,0,0.0
Afghanistan,2020-02-26,0,0.0
Afghanistan,2020-02-27,0,0.0
Afghanistan,2020-02-28,0,0.0
Afghanistan,2020-02-29,0,0.0
Afghanistan,2020-03-01,0,0.0
Afghanistan,2020-03-02,0,0.0
Afghanistan,2020-03-03,0,0.0
Afghanistan,2020-03-04,0,0.0
Afghanistan,2020-03-05,0,0.0
Afghanistan,2020-03-06,0,0.0
Afghanistan,2020-03-07,0,0.0
Afghanistan,2020-03-08,0,0.0
Afghanistan,2020-03-09,0,0.0
Afghanistan,2020-03-10,0,0.0
Afghanistan,2020-03-11,0,0.0
Afghanistan,2020-03-12,0,0.0
Afghanistan,2020-03-13,0,0.0
Afghanistan,2020-03-14,0,0.0
Afghanistan,2020-03-15,0,0.0
Afghanistan,2020-03-16,1,1.0
Afghanistan,2020-03-17,1,0.0
Afghanistan,2020-03-18,1,0.0
Afghanistan,2020-03-19,1,0.0
Afghanistan,2020-03-20,1,0.0
Afghanistan,2020-03-21,1,0.0
Afghanistan,2020-03-22,1,0.0
Afghanistan,2020-03-23,1,0.0
Afghanistan,2020-03-24,1,0.0
Afghanistan,2020-03-25,2,1.0
Afghanistan,2020-03-26,2,0.0
Afghanistan,2020-03-27,2,0.0
Albania,2020-01-22,0,0.0
Albania,2020-01-23,0,0.0
Albania,2020-01-24,0,0.0
Albania,2020-01-25,0,0.0
Albania,2020-01-26,0,0.0
Albania,2020-01-27,0,0.0
Albania,2020-01-28,0,0.0
Albania,2020-01-29,0,0.0
Albania,2020-01-30,0,0.0
Albania,2020-01-31,0,0.0
Albania,2020-02-01,0,0.0
Albania,2020-02-02,0,0.0
Albania,2020-02-03,0,0.0
Albania,2020-02-04,0,0.0
Albania,2020-02-05,0,0.0
Albania,2020-02-06,0,0.0
Albania,2020-02-07,0,0.0
Albania,2020-02-08,0,0.0
Albania,2020-02-09,0,0.0
Albania,2020-02-10,0,0.0
Albania,2020-02-11,0,0.0
Albania,2020-02-12,0,0.0
Albania,2020-02-13,0,0.0
Albania,2020-02-14,0,0.0
Albania,2020-02-15,0,0.0
Albania,2020-02-16,0,0.0
Albania,2020-02-17,0,0.0
Albania,2020-02-18,0,0.0
Albania,2020-02-19,0,0.0
Albania,2020-02-20,0,0.0
Albania,2020-02-21,0,0.0
Albania,2020-02-22,0,0.0
Albania,2020-02-23,0,0.0
Albania,2020-02-24,0,0.0
Albania,2020-02-25,0,0.0
Albania,2020-02-26,0,0.0
Albania,2020-02-27,0,0.0
Albania,2020-02-28,0,0.0
Albania,2020-02-29,0,0.0
Albania,2020-03-01,0,0.0
Albania,2020-03-02,0,0.0
Albania,2020-03-03,0,0.0
Albania,2020-03-04,0,0.0
Albania,2020-03-05,0,0.0
Albania,2020-03-06,0,0.0
Albania,2020-03-07,0,0.0
Albania,2020-03-08,0,0.0
Albania,2020-03-09,0,0.0
Albania,2020-03-10,0,0.0
Albania,2020-03-11,0,0.0
Albania,2020-03-12,0,0.0
Albania,2020-03-13,0,0.0
Albania,2020-03-14,0,0.0
Albania,2020-03-15,0,0.0
Albania,2020-03-16,0,0.0
Albania,2020-03-17,0,0.0
Albania,2020-03-18,0,0.0
Albania,2020-03-19,0,0.0
Albania,2020-03-20,0,0.0
Albania,2020-03-21,2,2.0
Albania,2020-03-22,2,0.0
Albania,2020-03-23,2,0.0
Albania,2020-03-24,10,8.0
Albania,2020-03-25,17,7.0
Albania,2020-03-26,17,0.0
Albania,2020-03-27,31,14.0
Algeria,2020-01-22,0,0.0
Algeria,2020-01-23,0,0.0
Algeria,2020-01-24,0,0.0
Algeria,2020-01-25,0,0.0
Algeria,2020-01-26,0,0.0
Algeria,2020-01-27,0,0.0
Algeria,2020-01-28,0,0.0
Algeria,2020-01-29,0,0.0
Algeria,2020-01-30,0,0.0
Algeria,2020-01-31,0,0.0
Algeria,2020-02-01,0,0.0
Algeria,2020-02-02,0,0.0
Algeria,2020-02-03,0,0.0
Algeria,2020-02-04,0,0.0
Algeria,2020-02-05,0,0.0
Algeria,2020-02-06,0,0.0
Algeria,2020-02-07,0,0.0
Algeria,2020-02-08,0,0.0
Algeria,2020-02-09,0,0.0
Algeria,2020-02-10,0,0.0
Algeria,2020-02-11,0,0.0
Algeria,2020-02-12,0,0.0
Algeria,2020-02-13,0,0.0
Algeria,2020-02-14,0,0.0
Algeria,2020-02-15,0,0.0
Algeria,2020-02-16,0,0.0
Algeria,2020-02-17,0,0.0
Algeria,2020-02-18,0,0.0
Algeria,2020-02-19,0,0.0
Algeria,2020-02-20,0,0.0
Algeria,2020-02-21,0,0.0
Algeria,2020-02-22,0,0.0
Algeria,2020-02-23,0,0.0
Algeria,2020-02-24,0,0.0
Algeria,2020-02-25,0,0.0
Algeria,2020-02-26,0,0.0
Algeria,2020-02-27,0,0.0
Algeria,2020-02-28,0,0.0
Algeria,2020-02-29,0,0.0
Algeria,2020-03-01,0,0.0
Algeria,2020-03-02,0,0.0
Algeria,2020-03-03,0,0.0
Algeria,2020-03-04,0,0.0
Algeria,2020-03-05,0,0.0
Algeria,2020-03-06,0,0.0
Algeria,2020-03-07,0,0.0
Algeria,2020-03-08,0,0.0
Algeria,2020-03-09,0,0.0
Algeria,2020-03-10,0,0.0
Algeria,2020-03-11,0,0.0
Algeria,2020-03-12,8,8.0
Algeria,2020-03-13,8,0.0
Algeria,2020-03-14,12,4.0
Algeria,2020-03-15,12,0.0
Algeria,2020-03-16,12,0.0
Algeria,2020-03-17,12,0.0
Algeria,2020-03-18,12,0.0
Algeria,2020-03-19,32,20.0
Algeria,2020-03-20,32,0.0
Algeria,2020-03-21,32,0.0
Algeria,2020-03-22,65,33.0
Algeria,2020-03-23,65,0.0
Algeria,2020-03-24,24,-41.0
Algeria,2020-03-25,65,41.0
Algeria,2020-03-26,29,-36.0
Algeria,2020-03-27,29,0.0
Andorra,2020-01-22,0,0.0
Andorra,2020-01-23,0,0.0
Andorra,2020-01-24,0,0.0
Andorra,2020-01-25,0,0.0
Andorra,2020-01-26,0,0.0
Andorra,2020-01-27,0,0.0
Andorra,2020-01-28,0,0.0
Andorra,2020-01-29,0,0.0
Andorra,2020-01-30,0,0.0
Andorra,2020-01-31,0,0.0
Andorra,2020-02-01,0,0.0
Andorra,2020-02-02,0,0.0
Andorra,2020-02-03,0,0.0
Andorra,2020-02-04,0,0.0
Andorra,2020-02-05,0,0.0
Andorra,2020-02-06,0,0.0
Andorra,2020-02-07,0,0.0
Andorra,2020-02-08,0,0.0
Andorra,2020-02-09,0,0.0
Andorra,2020-02-10,0,0.0
Andorra,2020-02-11,0,0.0
Andorra,2020-02-12,0,0.0
Andorra,2020-02-13,0,0.0
Andorra,2020-02-14,0,0.0
Andorra,2020-02-15,0,0.0
Andorra,2020-02-16,0,0.0
Andorra,2020-02-17,0,0.0
Andorra,2020-02-18,0,0.0
Andorra,2020-02-19,0,0.0
Andorra,2020-02-20,0,0.0
Andorra,2020-02-21,0,0.0
Andorra,2020-02-22,0,0.0
Andorra,2020-02-23,0,0.0
Andorra,2020-02-24,0,0.0
Andorra,2020-02-25,0,0.0
Andorra,2020-02-26,0,0.0
Andorra,2020-02-27,0,0.0
Andorra,2020-02-28,0,0.0
Andorra,2020-02-29,0,0.0
Andorra,2020-03-01,0,0.0
Andorra,2020-03-02,0,0.0
Andorra,2020-03-03,0,0.0
Andorra,2020-03-04,0,0.0
Andorra,2020-03-05,0,0.0
Andorra,2020-03-06,0,0.0
Andorra,2020-03-07,0,0.0
Andorra,2020-03-08,0,0.0
Andorra,2020-03-09,0,0.0
Andorra,2020-03-10,0,0.0
Andorra,2020-03-11,0,0.0
Andorra,2020-03-12,1,1.0
Andorra,2020-03-13,0,-1.0
Andorra,2020-03-14,1,1.0
Andorra,2020-03-15,1,0.0
Andorra,2020-03-16,1,0.0
Andorra,2020-03-17,1,0.0
Andorra,2020-03-18,1,0.0
Andorra,2020-03-19,1,0.0
Andorra,2020-03-20,1,0.0
Andorra,2020-03-21,1,0.0
Andorra,2020-03-22,1,0.0
Andorra,2020-03-23,1,0.0
Andorra,2020-03-24,1,0.0
Andorra,2020-03-25,1,0.0
Andorra,2020-03-26,1,0.0
Andorra,2020-03-27,1,0.0
Angola,2020-01-22,0,0.0
